NODE	NODE_CATEGORY	LEAF_CNT	CATEGORY_CNT	LEAF_PCT	MDE_AMB	MDE_ELE	NCD_AMB	NCD_ELE	NTS_CREO_AMB	NTS_CREO_ELE	NTS_CRUST_AMB	NTS_CRUST_ELE	ORNL_AMB	ORNL_ELE	CRUST_AMB_064	CRUST_ELE_004
384	Bacteroidetes	19	1	55.9	223	233	48	66	48	97	31	112	51	48	28	23
385	Bacteroidetes	4	1	11.8	90	94	18	17	10	18	9	21	32	22	5	4
386	Bacteroidetes	3	1	8.8	246	292	27	49	21	54	42	75	56	39	11	20
387	Bacteroidetes	2	1	5.9	67	64	3	7	8	11	7	14	8	10	2	4
388	Bacteroidetes	15	1	44.1	108	142	45	39	38	64	26	85	37	42	17	12
389	Bacteroidetes	2	1	5.9	0	0	0	0	0	0	0	0	1	0	0	0
390	Bacteroidetes	13	1	38.2	299	365	66	85	103	163	79	247	83	95	44	30
391	Bacteroidetes	2	1	5.9	69	68	12	16	6	37	16	44	19	17	9	3
392	Bacteroidetes	11	1	32.4	528	625	147	163	146	262	144	414	179	140	83	85
393	Bacteroidetes	4	1	11.8	54	62	14	17	19	31	12	29	19	14	7	7
394	Bacteroidetes	2	1	5.9	49	80	22	28	28	33	8	40	31	28	9	12
395	Bacteroidetes	2	1	5.9	27	20	4	7	1	8	3	7	3	4	1	2
396	Bacteroidetes	7	1	20.6	109	163	24	24	30	65	31	91	39	30	19	16
397	Bacteroidetes	6	1	17.6	94	115	24	23	25	45	13	78	25	32	16	11
398	Bacteroidetes	5	1	14.7	68	81	15	22	12	38	17	55	23	17	5	6
399	Bacteroidetes	4	1	11.8	96	101	12	20	18	43	20	87	25	20	9	10
400	Bacteroidetes	3	1	8.8	35	37	8	6	9	12	10	34	11	8	4	4
401	Bacteroidetes	2	1	5.9	40	40	4	3	6	12	11	20	4	6	4	4
